iter	MultiClass
0	1.269781707
1	1.181152122
2	1.121198114
3	1.050931672
4	0.9812077594
5	0.944474638
6	0.8827297438
7	0.8387721876
8	0.7971943542
9	0.76147749
10	0.7297780349
11	0.7041990402
12	0.6765156436
13	0.6519060858
14	0.631418178
15	0.6095624514
16	0.5862185485
17	0.5644473017
18	0.5474265256
19	0.5286410849
20	0.5114711017
21	0.4939059792
22	0.4833052315
23	0.4691431395
24	0.4536818966
25	0.4424629029
26	0.4297023444
27	0.4211006642
28	0.4116220994
29	0.4012381631
30	0.3905808748
31	0.3839956894
32	0.3774513949
33	0.372160725
34	0.3629988263
35	0.3547259366
36	0.3499794721
37	0.3460487939
38	0.3383633734
39	0.3347502677
40	0.3282624598
41	0.3236356525
42	0.3205139265
43	0.3167799571
44	0.3111092391
45	0.3077552078
46	0.301948833
47	0.2972152248
48	0.294781021
49	0.2925712227
50	0.2887578095
51	0.2862139155
52	0.2842579092
53	0.2791177005
54	0.2761316591
55	0.2730032447
56	0.2713130458
57	0.268953127
58	0.2659053243
59	0.262659406
60	0.2604142529
61	0.2577489935
62	0.2567131072
63	0.254979631
64	0.2532626746
65	0.2527320706
66	0.2504744201
67	0.2475860698
68	0.2438764603
69	0.2414338183
70	0.2400621134
71	0.23760875
72	0.2353569788
73	0.2344836482
74	0.2329634041
75	0.2293981924
76	0.2284292628
77	0.2269259707
78	0.2241855374
79	0.2221641803
80	0.2203742229
81	0.2182875092
82	0.2164006009
83	0.2142457239
84	0.2121833782
85	0.2110674877
86	0.2100414641
87	0.2094969253
88	0.2084016494
89	0.2079949751
90	0.2068060502
91	0.2049938193
92	0.2034268804
93	0.2026014717
94	0.2017471542
95	0.2005301003
96	0.1993307795
97	0.1981846841
98	0.1970028297
99	0.1957751373
100	0.1949060277
101	0.1936059859
102	0.1921323176
103	0.1898691567
104	0.188447457
105	0.1871001697
106	0.1851888733
107	0.1847353673
108	0.1829013181
109	0.1820800241
110	0.1806020541
111	0.1800369614
112	0.1794087354
113	0.1779872488
114	0.1768236173
115	0.1756517422
116	0.1743873557
117	0.1731823734
118	0.1716072781
119	0.1708306417
120	0.1696225464
121	0.1679504882
122	0.1671997448
123	0.1659496947
124	0.1649724172
125	0.1636681281
126	0.1626976398
127	0.1616888524
128	0.1608637148
129	0.1594529809
130	0.1583441773
131	0.1571727593
132	0.1554057086
133	0.1543431569
134	0.1541202203
135	0.1534276451
136	0.1526667097
137	0.1510938184
138	0.1504448846
139	0.1495776511
140	0.1486745156
141	0.1479169559
142	0.1475766716
143	0.1459848292
144	0.1450792538
145	0.1444494123
146	0.143874681
147	0.1431119332
148	0.1426381335
149	0.1421751449
150	0.1413602074
151	0.13998746
152	0.1397378234
153	0.1388540164
154	0.1379947715
155	0.1367276085
156	0.1357018301
157	0.134801277
158	0.1343170645
159	0.1338524289
160	0.1331494537
161	0.132725758
162	0.132122667
163	0.131278065
164	0.1304374771
165	0.1293708847
166	0.1291336201
167	0.128167189
168	0.1272971271
169	0.1266229285
170	0.1262879486
171	0.1259150891
172	0.1255668132
173	0.1252481947
174	0.1245278592
175	0.1241267793
176	0.1237928205
177	0.1231986773
178	0.1223464265
179	0.1219176227
180	0.1212672185
181	0.1204826272
182	0.120052512
183	0.1194436134
184	0.1185904496
185	0.1180371492
186	0.1173552849
187	0.1167421369
188	0.1164382586
189	0.1157754824
190	0.1153893594
191	0.1147871529
192	0.1143748204
193	0.1138840469
194	0.1131799141
195	0.1130002369
196	0.1124128362
197	0.1118319512
198	0.1111157787
199	0.1104863231
200	0.1096810224
201	0.1093964349
202	0.1088392546
203	0.1084516711
204	0.1078772837
205	0.107425909
206	0.1068674682
207	0.1065055371
208	0.1061850807
209	0.1058536395
210	0.1056246205
211	0.1050224567
212	0.1048091874
213	0.1044325659
214	0.1041556337
215	0.1036598513
216	0.1033628923
217	0.1030171694
218	0.1027609643
219	0.1023735139
220	0.1019506507
221	0.1016461336
222	0.1011718378
223	0.1007712509
224	0.1003127933
225	0.09991982499
226	0.0996949109
227	0.09959247523
228	0.09924058465
229	0.09887289379
230	0.098319603
231	0.09790176483
232	0.09751599155
233	0.09727446511
234	0.09695906124
235	0.09678777237
236	0.09642757285
237	0.09611590387
238	0.09580090564
239	0.09559039801
240	0.0952727694
241	0.09467937249
242	0.09412126781
243	0.09374364926
244	0.09348761178
245	0.09318129664
246	0.09289456627
247	0.09247486342
248	0.0921196215
249	0.09180033982
250	0.09170161763
251	0.0913236238
252	0.09079103247
253	0.09058638131
254	0.09041165077
255	0.09001839211
256	0.08973767286
257	0.08951920097
258	0.08919112744
259	0.08898088558
260	0.08873763917
261	0.08840932904
262	0.0879104491
263	0.08763202077
264	0.0872336591
265	0.08690293248
266	0.08634223101
267	0.08616384404
268	0.08595403148
269	0.08566427495
270	0.08541080208
271	0.08524919126
272	0.08487178821
273	0.0845037891
274	0.0843016137
275	0.08400031801
276	0.08382438706
277	0.08357680472
278	0.08340706486
279	0.08321489081
280	0.08286752755
281	0.08254715138
282	0.08223684767
283	0.08195874853
284	0.08158004934
285	0.08125372176
286	0.08095555872
287	0.08067511451
288	0.08036278738
289	0.08013550284
290	0.07988984742
291	0.07963459983
292	0.07928925085
293	0.07921503906
294	0.07905252314
295	0.07874826551
296	0.07848411013
297	0.07830159297
298	0.07815507994
299	0.07790747622
300	0.07761111812
301	0.07739491225
302	0.07716463834
303	0.07699688665
304	0.07672086329
305	0.07644572599
306	0.07619285042
307	0.07593911513
308	0.07573291455
309	0.07553150012
310	0.07529398133
311	0.07504848209
312	0.07482793865
313	0.07457564675
314	0.07449101079
315	0.07434196767
