iter	Passed	Remaining
618	8681	5343
619	8691	5326
620	8702	5311
621	8716	5297
622	8732	5284
623	8744	5268
624	8758	5254
625	8769	5239
626	8784	5225
627	8795	5210
628	8806	5194
629	8817	5178
630	8828	5162
631	8839	5146
632	8849	5130
633	8860	5114
634	8871	5099
635	8882	5083
636	8893	5068
637	8904	5052
638	8923	5041
639	8936	5026
640	8951	5013
641	8962	4997
642	8973	4981
643	8983	4966
644	8994	4950
645	9005	4934
646	9015	4918
647	9026	4903
648	9036	4887
649	9046	4871
650	9057	4855
651	9068	4840
652	9078	4824
653	9088	4808
654	9098	4792
655	9109	4776
656	9121	4762
657	9135	4748
658	9147	4733
659	9160	4719
660	9171	4703
661	9182	4688
662	9193	4672
663	9203	4657
664	9214	4641
665	9225	4626
666	9235	4610
667	9246	4595
668	9256	4579
669	9266	4564
670	9277	4548
671	9287	4533
672	9298	4518
673	9313	4504
674	9327	4491
675	9342	4477
676	9352	4462
677	9363	4446
678	9374	4431
679	9384	4416
680	9395	4401
681	9406	4385
682	9416	4370
683	9427	4355
684	9438	4340
685	9448	4324
686	9458	4309
687	9470	4294
688	9481	4279
689	9491	4264
690	9505	4250
691	9520	4237
692	9530	4222
693	9541	4206
694	9552	4192
695	9563	4177
696	9574	4162
697	9584	4147
698	9596	4132
699	9605	4116
700	9616	4101
701	9627	4086
702	9637	4071
703	9647	4056
704	9658	4041
705	9669	4026
706	9679	4011
707	9694	3998
708	9708	3984
709	9717	3969
710	9729	3954
711	9739	3939
712	9750	3924
713	9761	3909
714	9771	3894
715	9781	3879
716	9793	3865
717	9803	3850
718	9813	3835
719	9824	3820
720	9834	3805
721	9845	3790
722	9856	3776
723	9866	3761
724	9886	3750
725	9899	3736
726	9910	3721
727	9921	3707
728	9933	3692
729	9943	3677
730	9953	3662
731	9963	3647
732	9974	3633
733	9985	3618
734	9997	3604
735	10007	3589
736	10019	3575
737	10029	3560
738	10040	3546
739	10051	3531
740	10061	3516
741	10072	3502
742	10087	3489
743	10100	3475
744	10116	3462
745	10126	3447
746	10137	3433
747	10148	3419
748	10159	3404
749	10170	3390
750	10181	3375
751	10191	3360
752	10202	3346
753	10213	3332
754	10223	3317
755	10233	3302
756	10244	3288
757	10254	3273
758	10265	3259
759	10279	3246
760	10293	3232
761	10307	3219
762	10319	3205
763	10331	3191
764	10342	3177
765	10352	3162
766	10363	3148
767	10374	3133
768	10384	3119
769	10395	3105
770	10406	3090
771	10416	3076
772	10426	3061
773	10437	3047
774	10447	3033
775	10457	3018
776	10472	3005
777	10486	2992
778	10499	2978
779	10509	2964
780	10520	2949
781	10530	2935
782	10543	2922
783	10554	2907
784	10565	2893
785	10575	2879
786	10586	2865
787	10596	2850
788	10607	2836
789	10617	2822
790	10628	2808
791	10638	2793
792	10649	2779
793	10660	2765
794	10675	2752
795	10687	2739
796	10702	2725
797	10712	2711
798	10722	2697
799	10733	2683
800	10744	2669
801	10754	2655
802	10765	2641
803	10776	2627
804	10785	2612
805	10796	2598
806	10807	2584
807	10817	2570
808	10827	2556
809	10840	2542
810	10850	2528
811	10864	2515
812	10878	2502
813	10894	2489
814	10906	2475
815	10916	2461
816	10929	2448
817	10942	2434
818	10954	2420
819	10970	2408
820	10986	2395
821	10998	2381
822	11011	2368
823	11023	2354
824	11035	2340
825	11046	2326
826	11065	2314
827	11080	2301
828	11094	2288
829	11109	2275
830	11120	2261
831	11131	2247
832	11144	2234
833	11155	2220
834	11165	2206
835	11176	2192
836	11186	2178
837	11196	2164
838	11208	2150
839	11218	2136
840	11228	2122
841	11239	2109
842	11254	2096
843	11272	2083
844	11288	2070
845	11299	2056
846	11310	2043
847	11321	2029
848	11331	2015
849	11344	2002
850	11355	1988
851	11365	1974
852	11375	1960
853	11386	1946
854	11395	1932
855	11406	1918
856	11417	1905
857	11427	1891
858	11438	1877
859	11452	1864
860	11465	1850
861	11475	1837
862	11486	1823
863	11497	1809
864	11508	1796
865	11519	1782
866	11530	1768
867	11541	1755
868	11551	1741
869	11561	1727
870	11572	1713
871	11582	1700
872	11593	1686
873	11603	1672
874	11614	1659
875	11624	1645
876	11635	1631
877	11649	1618
878	11665	1605
879	11675	1592
880	11685	1578
881	11695	1564
882	11705	1551
883	11716	1537
884	11726	1523
885	11737	1510
886	11748	1496
887	11760	1483
888	11772	1469
889	11783	1456
890	11793	1442
891	11807	1429
892	11817	1415
893	11830	1402
894	11844	1389
895	11856	1376
896	11866	1362
897	11877	1349
898	11888	1335
899	11898	1322
900	11909	1308
901	11920	1295
902	11931	1281
903	11941	1268
904	11952	1254
905	11962	1241
906	11972	1227
907	11982	1214
908	11993	1200
909	12004	1187
910	12014	1173
911	12028	1160
912	12042	1147
913	12053	1134
914	12065	1120
915	12076	1107
916	12086	1093
917	12100	1080
918	12111	1067
919	12121	1054
920	12132	1040
921	12143	1027
922	12153	1013
923	12163	1000
924	12174	987
925	12185	973
926	12195	960
927	12206	947
928	12220	933
929	12234	920
930	12248	907
931	12263	894
932	12275	881
933	12288	868
934	12298	854
935	12311	841
936	12323	828
937	12334	815
938	12347	802
939	12358	788
940	12371	775
941	12384	762
942	12400	749
943	12414	736
944	12426	723
945	12441	710
946	12456	697
947	12467	683
948	12480	670
949	12490	657
950	12502	644
951	12515	631
952	12526	617
953	12538	604
954	12550	591
955	12561	578
956	12574	564
957	12589	551
958	12602	538
959	12615	525
960	12629	512
961	12643	499
962	12653	486
963	12666	473
964	12678	459
965	12688	446
966	12701	433
967	12713	420
968	12725	407
969	12738	393
970	12748	380
971	12765	367
972	12781	354
973	12795	341
974	12808	328
975	12822	315
976	12838	302
977	12849	289
978	12863	275
979	12875	262
980	12886	249
981	12899	236
982	12910	223
983	12922	210
984	12934	196
985	12946	183
986	12958	170
987	12973	157
988	12986	144
989	12998	131
990	13011	118
991	13028	105
992	13041	91
993	13053	78
994	13066	65
995	13078	52
996	13090	39
997	13102	26
998	13116	13
999	13129	0
